city,lat,lng,state
Tumkūr (Karnātaka),13.34,77.1,Karnātaka
Dehra Dūn (Uttarākhand),30.345,78.029,Uttarākhand
Kottayam (Kerala),9.5916,76.5222,Kerala
Āsansol (West Bengal),23.68,86.99,West Bengal
Bokaro Steel City (Jhārkhand),23.67,86.15,Jhārkhand
Kolhāpur (Mahārāshtra),16.6917,74.2333,Mahārāshtra
Nava Raipur (Chhattīsgarh),21.161,81.787,Chhattīsgarh
Ajmer (Rājasthān),26.4499,74.6399,Rājasthān
Nānded (Mahārāshtra),19.15,77.3,Mahārāshtra
Amrāvati (Mahārāshtra),20.9258,77.7647,Mahārāshtra
Nellore (Andhra Pradesh),14.4431,79.9861,Andhra Pradesh
Dispur (Assam),26.1397,91.7925,Assam
Gulbarga (Karnātaka),17.329,76.825,Karnātaka
Bīkaner (Rājasthān),28.0167,73.3119,Rājasthān
Agartala (Tripura),23.8314,91.2869,Tripura
Chānda (Mahārāshtra),19.95,79.297,Mahārāshtra
Loni (Uttar Pradesh),28.75,77.28,Uttar Pradesh
Ujjain (Madhya Pradesh),23.17,75.79,Madhya Pradesh
Jhānsi (Uttar Pradesh),25.4486,78.5696,Uttar Pradesh
Ulhāsnagar (Mahārāshtra),19.22,73.15,Mahārāshtra
Jammu (Jammu and Kashmīr),32.73,74.87,Jammu and Kashmīr
Tuticorin (Tamil Nādu),8.8056,78.145,Tamil Nādu
Purnea (Bihār),25.778,87.476,Bihār
Belgaum (Karnātaka),15.85,74.5,Karnātaka
Vellore (Tamil Nādu),12.9165,79.1325,Tamil Nādu
Mālegaon (Mahārāshtra),20.55,74.55,Mahārāshtra
Jāmnagar (Gujarāt),22.47,70.07,Gujarāt
Bārdoli (Gujarāt),21.12,73.12,Gujarāt
Gaya (Bihār),24.75,85.01,Bihār
Ambattūr (Tamil Nādu),13.1143,80.1548,Tamil Nādu
Jalgaon (Mahārāshtra),21.004,75.568,Mahārāshtra
Chhatarpur (Madhya Pradesh),24.55,79.3527,Madhya Pradesh
Kurnool (Andhra Pradesh),15.83,78.05,Andhra Pradesh
Udaipur (Rājasthān),24.58,73.68,Rājasthān
Wāpi (Unknown),20.372,72.917,
Mathura (Uttar Pradesh),27.4925,77.6736,Uttar Pradesh
Sāngli (Mahārāshtra),16.853,74.583,Mahārāshtra
Davangere (Karnātaka),14.4666,75.9242,Karnātaka
Calicut (Kerala),11.2588,75.7804,Kerala
Mothīhāri (Bihār),26.65,84.9167,Bihār
Akola (Mahārāshtra),20.7,77.0,Mahārāshtra
Bettiah (Bihār),26.8014,84.5028,Bihār
Shorāpur (Karnātaka),16.52,76.76,Karnātaka
Tinnevelly (Tamil Nādu),8.7136,77.7567,Tamil Nādu
Bellary (Karnātaka),15.1,76.9167,Karnātaka
Bhāgalpur (Bihār),25.25,87.0,Bihār
Manampizha (Kerala),9.2972,76.65,Kerala
Delhi Cantonment (Delhi),28.6,77.1333,Delhi
Salt Lake City (West Bengal),22.61,88.4,West Bengal
Etāwa (Madhya Pradesh),24.18,78.2,Madhya Pradesh
Sonīpat (Haryāna),28.99,77.022,Haryāna
Quilon (Kerala),8.8932,76.6141,Kerala
Mulangodi (Kerala),9.0,76.6167,Kerala
