city,lat,lng,state
Pithāpuram (Andhra Pradesh),17.1167,82.2667,Andhra Pradesh
Khurai (Madhya Pradesh),24.0437,78.3301,Madhya Pradesh
Punganūru (Andhra Pradesh),13.3667,78.5833,Andhra Pradesh
Nargol (Gujarāt),20.233,72.75,Gujarāt
Ghātāl (West Bengal),22.67,87.72,West Bengal
Sāgar (Karnātaka),14.1667,75.0333,Karnātaka
Mūndka (Delhi),28.6794,77.0284,Delhi
Tiruvallūr (Tamil Nādu),13.1231,79.912,Tamil Nādu
Bārāmati (Mahārāshtra),18.15,74.58,Mahārāshtra
Islāmpur (West Bengal),26.27,88.2,West Bengal
Sidhi (Madhya Pradesh),24.42,81.88,Madhya Pradesh
Rāhuri (Mahārāshtra),19.38,74.65,Mahārāshtra
Kāsaragod (Kerala),12.5,75.0,Kerala
Jalor (Rājasthān),25.35,72.62,Rājasthān
Samāna (Punjab),30.15,76.19,Punjab
Kunnamkulam (Kerala),10.65,76.08,Kerala
Palmaner (Andhra Pradesh),13.2,78.75,Andhra Pradesh
Deolāli (Mahārāshtra),19.951,73.834,Mahārāshtra
Umred (Mahārāshtra),20.85,79.33,Mahārāshtra
Sohna (Haryāna),28.25,77.07,Haryāna
Pārvatipuram (Andhra Pradesh),18.78,83.425,Andhra Pradesh
Ullāl (Karnātaka),12.8149,74.8429,Karnātaka
Dholka (Gujarāt),22.72,72.47,Gujarāt
Ottappālam (Kerala),10.77,76.38,Kerala
Manjeri (Kerala),11.1202,76.12,Kerala
Ashta (Madhya Pradesh),23.0175,76.7221,Madhya Pradesh
Ilindu Kothi (Himāchal Pradesh),32.1461,76.2784,Himāchal Pradesh
Kāliyāganj (West Bengal),25.63,88.32,West Bengal
Jaggayyapeta (Andhra Pradesh),16.892,80.0976,Andhra Pradesh
Goālpāra (Assam),26.17,90.62,Assam
Shāhpur (Karnātaka),16.7,76.83,Karnātaka
Bhongīr (Andhra Pradesh),17.51,78.89,Andhra Pradesh
Amalāpuram (Andhra Pradesh),16.5787,82.0061,Andhra Pradesh
Kunnamangalam (Kerala),11.3064,75.8789,Kerala
Bakhtiyārpur (Bihār),25.459,85.539,Bihār
Patancheruvu (Andhra Pradesh),17.5333,78.2645,Andhra Pradesh
Vikārābād (Andhra Pradesh),17.33,77.9,Andhra Pradesh
Bāruipur (West Bengal),22.3607,88.4323,West Bengal
Puttūr (Karnātaka),12.7648,75.1842,Karnātaka
Puttūr (Andhra Pradesh),13.45,79.55,Andhra Pradesh
Manglaur (Uttarākhand),29.8,77.87,Uttarākhand
Tilhar (Uttar Pradesh),27.9628,79.7383,Uttar Pradesh
Sultānganj (Bihār),25.246,86.738,Bihār
Tiruvalla (Kerala),9.3856,76.5756,Kerala
Venkatagiri (Andhra Pradesh),13.9667,79.5833,Andhra Pradesh
Sihor (Gujarāt),21.7,71.97,Gujarāt
Nerkunram (Tamil Nādu),13.0619,80.2094,Tamil Nādu
Badūria (West Bengal),22.74,88.79,West Bengal
Sironj (Madhya Pradesh),24.1031,77.6905,Madhya Pradesh
Jangaon (Andhra Pradesh),17.7227,79.1518,Andhra Pradesh
Daudnagar (Bihār),25.03,84.4,Bihār
Jiyyammavalasa (Andhra Pradesh),18.8186,83.5797,Andhra Pradesh
Mandamāri (Andhra Pradesh),18.9822,79.4811,Andhra Pradesh
Lakhminia (Bihār),25.4126,86.3253,Bihār
Ellenabad (Haryāna),29.45,74.65,Haryāna
Korāput (Odisha),18.812,82.7105,Odisha
Mudhol (Karnātaka),16.35,75.2833,Karnātaka
Phaltan (Mahārāshtra),17.98,74.43,Mahārāshtra
Diu (Dādra and Nagar Haveli and Damān and Diu),20.7158,70.9858,Dādra and Nagar Haveli and Damān and Diu
Khattan (Jammu and Kashmīr),33.3773,75.7254,Jammu and Kashmīr
Rāwatbhāta (Rājasthān),24.93,75.58,Rājasthān
Vaisampākkal (Kerala),9.4562,76.5241,Kerala
Kumarankari (Kerala),9.4596,76.4986,Kerala
Arwal (Bihār),25.2442,84.6631,Bihār
Burla (Odisha),21.5098,83.8726,Odisha
Gādarwāra (Madhya Pradesh),22.9235,78.7849,Madhya Pradesh
Pardigūda (Andhra Pradesh),17.3974,78.5783,Andhra Pradesh
Kālpi (Uttar Pradesh),26.12,79.73,Uttar Pradesh
Irinjālakuda (Kerala),10.3424,76.2112,Kerala
Tirupparangunram (Tamil Nādu),9.8815,78.0731,Tamil Nādu
Zangāreddigūdem (Andhra Pradesh),17.1229,81.2953,Andhra Pradesh
Peranāmpattu (Tamil Nādu),12.9387,78.7028,Tamil Nādu
Rongat (Andaman and Nicobar Islands),12.4667,92.9333,Andaman and Nicobar Islands
Dabhoi (Gujarāt),22.1376,73.4162,Gujarāt
Tirumangalam (Tamil Nādu),9.8216,77.9891,Tamil Nādu
Bhavāni (Tamil Nādu),11.4455,77.6821,Tamil Nādu
Puthuppariyāram (Kerala),10.8036,76.6221,Kerala
Sidlaghatta (Karnātaka),13.39,77.86,Karnātaka
Marpalli (Andhra Pradesh),17.5389,77.7708,Andhra Pradesh
Bowringpet (Karnātaka),12.9912,78.178,Karnātaka
Bestavārapeta (Andhra Pradesh),15.55,79.1167,Andhra Pradesh
Hodal (Haryāna),27.894,77.369,Haryāna
Aurangābād (Haryāna),27.894,77.369,Haryāna
Fatwa (Bihār),25.5096,85.305,Bihār
Pardwāl (Himāchal Pradesh),32.3286,76.1153,Himāchal Pradesh
Repalle (Andhra Pradesh),16.0172,80.8294,Andhra Pradesh
Karamdiha (Jhārkhand),24.47,83.55,Jhārkhand
Vyāra (Gujarāt),21.12,73.4,Gujarāt
Mahmudābād (Uttar Pradesh),27.3,81.12,Uttar Pradesh
Bikramganj (Bihār),25.2107,84.2551,Bihār
Chinnamanūr (Tamil Nādu),9.8422,77.3857,Tamil Nādu
Viramgām (Gujarāt),23.12,72.03,Gujarāt
Ānaiyūr (Tamil Nādu),9.9615,78.1118,Tamil Nādu
Kosamba (Gujarāt),21.48,72.95,Gujarāt
Jaspur (Uttarākhand),29.2833,78.8167,Uttarākhand
Forbesganj (Bihār),26.3,87.265,Bihār
Laksar (Uttarākhand),29.749,78.024,Uttarākhand
Bar Bigha (Bihār),25.2186,85.7332,Bihār
Tūndla (Uttar Pradesh),27.2146,78.2368,Uttar Pradesh
Bāghpat (Uttar Pradesh),28.95,77.22,Uttar Pradesh
Bhawānīpur Rājdhām (Bihār),25.6501,87.1396,Bihār
Metpalli (Andhra Pradesh),18.8492,78.6261,Andhra Pradesh
Bhadrāchalam (Andhra Pradesh),17.6669,80.8826,Andhra Pradesh
Biaora (Madhya Pradesh),23.9163,76.9112,Madhya Pradesh
Chiplūn (Mahārāshtra),17.53,73.52,Mahārāshtra
Sāha (Haryāna),30.3,76.9667,Haryāna
Sujānpur (Punjab),32.3127,75.6012,Punjab
Shiv (Rājasthān),26.1831,71.25,Rājasthān
Wālidpur (Uttar Pradesh),26.0583,83.3778,Uttar Pradesh
Sihorā (Madhya Pradesh),23.4871,80.104,Madhya Pradesh
Chatrā (Jhārkhand),24.2064,84.8708,Jhārkhand
Parāsia (Madhya Pradesh),22.1913,78.759,Madhya Pradesh
Hilsa (Bihār),25.32,85.28,Bihār
Nohar (Rājasthān),29.18,74.77,Rājasthān
Bhainsa (Andhra Pradesh),19.1,77.9667,Andhra Pradesh
Perintalmanna (Kerala),10.9765,76.2269,Kerala
Padrauna (Uttar Pradesh),26.9,83.98,Uttar Pradesh
Perambalūr (Tamil Nādu),11.23,78.88,Tamil Nādu
Karunāgapalli (Kerala),9.0544,76.5353,Kerala
Kizhake Chālakudi (Kerala),10.3,76.33,Kerala
Sulleru (Andhra Pradesh),18.5333,83.2167,Andhra Pradesh
Peddāpuram (Andhra Pradesh),17.08,82.13,Andhra Pradesh
Payyoli (Kerala),11.5333,75.6667,Kerala
Mājalgaon (Mahārāshtra),19.15,76.2333,Mahārāshtra
Kapadvanj (Gujarāt),23.02,73.07,Gujarāt
Tennala (Kerala),11.0,75.9333,Kerala
Rāmnagar (Uttar Pradesh),25.28,83.03,Uttar Pradesh
Naugachhia (Bihār),25.4,87.1,Bihār
Nizāmpur (Mahārāshtra),21.1117,74.33,Mahārāshtra
Jaggisettigūdem (Andhra Pradesh),17.1167,81.3,Andhra Pradesh
Nāikankudi (Kerala),9.843,77.1519,Kerala
Godda (Jhārkhand),24.827,87.2125,Jhārkhand
Bādurpalle (Andhra Pradesh),17.5468,78.365,Andhra Pradesh
Koduvalli (Kerala),11.3594,75.9111,Kerala
Guntakal Junction (Andhra Pradesh),15.1711,77.3624,Andhra Pradesh
Gooty (Andhra Pradesh),15.121,77.634,Andhra Pradesh
Bantvāl (Karnātaka),12.8905,75.0349,Karnātaka
Kīlvishāram (Tamil Nādu),12.9143,79.2854,Tamil Nādu
Khairābād (Uttar Pradesh),27.53,80.75,Uttar Pradesh
Jasdan (Gujarāt),22.03,71.2,Gujarāt
Upperu (Andhra Pradesh),16.6427,77.4874,Andhra Pradesh
Mangalapādi (Kerala),12.6431,74.9194,Kerala
Vite (Mahārāshtra),17.2711,74.5378,Mahārāshtra
Homnābād (Karnātaka),17.7707,77.1252,Karnātaka
Joshīmath (Uttarākhand),30.555,79.565,Uttarākhand
Gumia (Jhārkhand),23.8106,85.8232,Jhārkhand
Bokāro (Jhārkhand),23.7871,85.9564,Jhārkhand
Nāngal Township (Punjab),31.385,76.375,Punjab
Soyāgaon (Mahārāshtra),20.5514,74.5072,Mahārāshtra
Sadāseopet (Andhra Pradesh),17.6203,77.9539,Andhra Pradesh
Hoskote (Karnātaka),13.0721,77.7892,Karnātaka
Jalandhar Cantonment (Punjab),31.286,75.615,Punjab
Bhatkal (Karnātaka),13.9853,74.5553,Karnātaka
Dūngarpur (Rājasthān),23.84,73.72,Rājasthān
Chandrāwāda (Gujarāt),21.6525,69.6746,Gujarāt
Dumka (Jhārkhand),24.42,87.34,Jhārkhand
Changanācheri (Kerala),9.4667,76.55,Kerala
Umarkhed (Mahārāshtra),19.6014,77.6888,Mahārāshtra
Atarra (Uttar Pradesh),25.28,80.57,Uttar Pradesh
Azhikkōd (Kerala),11.9076,75.3446,Kerala
Azhikkal (Kerala),11.9076,75.3446,Kerala
Vikramasingapuram (Tamil Nādu),8.67,77.33,Tamil Nādu
Jiāganj (West Bengal),24.23,88.27,West Bengal
Manappārai (Tamil Nādu),10.6075,78.4253,Tamil Nādu
Mattanūr (Kerala),11.931,75.572,Kerala
Hagaribommanahalli (Karnātaka),15.04,76.2,Karnātaka
Pallipālaiyam (Tamil Nādu),11.3679,77.7435,Tamil Nādu
Nandikotkūr (Andhra Pradesh),15.8667,78.2667,Andhra Pradesh
Selu (Mahārāshtra),19.4551,76.4372,Mahārāshtra
Mēla Gūdalūr (Tamil Nādu),9.6806,77.2462,Tamil Nādu
Punalūr (Kerala),9.017,76.926,Kerala
Kampli (Karnātaka),15.4063,76.6001,Karnātaka
Nellikkuppam (Tamil Nādu),11.7667,79.6833,Tamil Nādu
Padra (Gujarāt),22.23,73.08,Gujarāt
Obra (Uttar Pradesh),24.42,82.98,Uttar Pradesh
Aland (Karnātaka),17.5642,76.5685,Karnātaka
Vuyyūru (Andhra Pradesh),16.3667,80.85,Andhra Pradesh
Kadinamkulam (Kerala),8.6,76.8167,Kerala
Mānvi (Karnātaka),15.9833,77.05,Karnātaka
Nilambūr (Kerala),11.2769,76.2258,Kerala
Bhālki (Karnātaka),18.0435,77.206,Karnātaka
Anandpur (Odisha),21.2141,86.1249,Odisha
Jammalamadugu (Andhra Pradesh),14.85,78.38,Andhra Pradesh
Garhwa (Jhārkhand),24.16,83.8075,Jhārkhand
Sikandra Rao (Uttar Pradesh),27.7,78.4,Uttar Pradesh
Nawāshahr (Punjab),31.1167,76.1333,Punjab
Rānāvāv (Gujarāt),21.68,69.75,Gujarāt
Bihāt (Bihār),25.4253,86.0208,Bihār
Coonoor (Tamil Nādu),11.345,76.795,Tamil Nādu
Thoubāl (Manipur),24.63,94.02,Manipur
Dharmaragar (Tripura),24.3785,92.1783,Tripura
Pākaur (Jhārkhand),24.63,87.85,Jhārkhand
Shertallai (Kerala),9.6869,76.3361,Kerala
Nawai (Rājasthān),26.3824,75.924,Rājasthān
Gollalagunta (Andhra Pradesh),17.1672,82.2847,Andhra Pradesh
Rājgarh (Madhya Pradesh),24.03,76.88,Madhya Pradesh
Farrukhnagar (Andhra Pradesh),17.0778,78.2011,Andhra Pradesh
Chattamangalam (Kerala),11.296,75.915,Kerala
Kumta (Karnātaka),14.4264,74.4122,Karnātaka
Warud (Mahārāshtra),21.4167,78.4,Mahārāshtra
Pāndhurnā (Madhya Pradesh),21.6,78.52,Madhya Pradesh
Ganapathivattam (Kerala),11.67,76.28,Kerala
Gobārdānga (West Bengal),22.87,88.76,West Bengal
Jukal (Andhra Pradesh),18.3689,77.6169,Andhra Pradesh
Seoni Mālwa (Madhya Pradesh),22.4508,77.4681,Madhya Pradesh
Chalungalpādam (Kerala),9.549,76.3237,Kerala
Arantāngi (Tamil Nādu),10.1686,78.992,Tamil Nādu
Nāyudupet (Andhra Pradesh),13.9,79.9,Andhra Pradesh
Sundargarh (Odisha),22.12,84.03,Odisha
Mahālingpur (Karnātaka),16.38,75.12,Karnātaka
Bhāyala (Gujarāt),22.8335,72.3643,Gujarāt
Nalegaon (Mahārāshtra),18.4167,76.8167,Mahārāshtra
Muddebihāl (Karnātaka),16.33,76.13,Karnātaka
Kedgaon (Mahārāshtra),18.43,74.35,Mahārāshtra
Sachīn (Gujarāt),21.08,72.88,Gujarāt
Ālamūru (Andhra Pradesh),16.7833,81.9,Andhra Pradesh
Dīg (Rājasthān),27.47,77.33,Rājasthān
Barnagar (Madhya Pradesh),23.0489,75.378,Madhya Pradesh
Charkhi Dādri (Haryāna),28.59,76.27,Haryāna
Guledagudda (Karnātaka),16.0502,75.79,Karnātaka
Rāmeswaram (Tamil Nādu),9.288,79.313,Tamil Nādu
Tiruttani (Tamil Nādu),13.1746,79.6117,Tamil Nādu
Melūr (Tamil Nādu),10.0313,78.3381,Tamil Nādu
Dhupgāri (West Bengal),26.5889,89.0069,West Bengal
Dowlaiswaram (Andhra Pradesh),16.9556,81.7931,Andhra Pradesh
Sainthia (West Bengal),23.9451,87.6803,West Bengal
Jangamguda (Andhra Pradesh),17.6238,78.6251,Andhra Pradesh
Shekhupur (Uttar Pradesh),28.35,79.02,Uttar Pradesh
Karvārakundu (Kerala),11.1167,76.3333,Kerala
Rāpūr (Andhra Pradesh),14.2015,79.5351,Andhra Pradesh
Siyāna (Uttar Pradesh),28.6269,78.0607,Uttar Pradesh
Angul (Odisha),20.8381,85.0956,Odisha
Rājaldesar (Rājasthān),28.03,74.47,Rājasthān
Dalli Rājhara (Chhattīsgarh),20.58,81.08,Chhattīsgarh
Nandigāma (Andhra Pradesh),16.7833,80.3,Andhra Pradesh
Barwāh (Madhya Pradesh),22.2539,76.0385,Madhya Pradesh
Damān (Dādra and Nagar Haveli and Damān and Diu),20.42,72.85,Dādra and Nagar Haveli and Damān and Diu
Medak (Andhra Pradesh),18.046,78.263,Andhra Pradesh
Talipparamba (Kerala),12.0368,75.3601,Kerala
Jora (Madhya Pradesh),26.3421,77.8092,Madhya Pradesh
Ananipalle (Andhra Pradesh),13.4902,79.2895,Andhra Pradesh
Majurwa (Bihār),26.1036,86.9193,Bihār
Raisen (Madhya Pradesh),23.33,77.8,Madhya Pradesh
Jānakammapeta (Andhra Pradesh),15.0125,79.8439,Andhra Pradesh
Sihora (Madhya Pradesh),23.0,80.12,Madhya Pradesh
Murshidābād (West Bengal),24.18,88.27,West Bengal
Ahmadpur (Mahārāshtra),18.7,76.9333,Mahārāshtra
Kāngayam (Tamil Nādu),11.0054,77.562,Tamil Nādu
Seohāra (Uttar Pradesh),29.22,78.58,Uttar Pradesh
Wānkāner (Gujarāt),22.6161,70.9531,Gujarāt
Addanki (Andhra Pradesh),15.8167,79.9833,Andhra Pradesh
Nidadavole (Andhra Pradesh),16.92,81.67,Andhra Pradesh
Anekal (Karnātaka),12.7105,77.6967,Karnātaka
Kottangara (Kerala),8.9167,76.6333,Kerala
Porsa (Madhya Pradesh),26.67,78.37,Madhya Pradesh
Bodupāl (Andhra Pradesh),17.4139,78.5783,Andhra Pradesh
Rāmachandrapuram (Andhra Pradesh),16.85,82.02,Andhra Pradesh
Chembra (Kerala),11.042,75.911,Kerala
Shōranūr (Kerala),10.77,76.28,Kerala
Nilothi (Haryāna),28.8167,76.8667,Haryāna
Jambusar (Gujarāt),22.05,72.8,Gujarāt
Kōttōppādam (Kerala),10.9979,76.3914,Kerala
Ambāsamudram (Tamil Nādu),8.7037,77.4527,Tamil Nādu
Yeola (Mahārāshtra),20.042,74.489,Mahārāshtra
Kāyalpattanam (Tamil Nādu),8.5638,78.1246,Tamil Nādu
Rudauli (Uttar Pradesh),26.75,81.75,Uttar Pradesh
Dhāka (Bihār),26.72,85.33,Bihār
Barhiya (Bihār),25.2833,86.0333,Bihār
Kattivākkam (Tamil Nādu),13.2167,80.3167,Tamil Nādu
Periyakulam (Tamil Nādu),10.1239,77.5475,Tamil Nādu
Bairāgnia (Bihār),26.7381,85.2736,Bihār
Pirthīpur (Madhya Pradesh),25.1853,78.665,Madhya Pradesh
Mahbūbābād (Andhra Pradesh),17.6167,80.0167,Andhra Pradesh
Limbdi (Gujarāt),22.5685,71.7949,Gujarāt
Thol (Gujarāt),23.0674,72.5121,Gujarāt
Barpeta (Assam),26.32,91.0,Assam
Kharik (Bihār),25.3679,87.0026,Bihār
Sālār (West Bengal),23.7748,88.1026,West Bengal
Jājpur (Odisha),21.214,86.107,Odisha
Allūru (Andhra Pradesh),15.1336,78.4975,Andhra Pradesh
Kadalur (Kerala),11.1333,75.8167,Kerala
Jambughoda (Gujarāt),22.3667,73.7167,Gujarāt
Kārsiyāng (West Bengal),26.8778,88.2772,West Bengal
Bhatpalli (Andhra Pradesh),18.4293,79.8635,Andhra Pradesh
Thān (Gujarāt),22.5667,71.1833,Gujarāt
Laungowāl (Punjab),30.2167,75.6833,Punjab
Rupsa (Odisha),21.6167,87.0167,Odisha
Akbarpur (Uttar Pradesh),26.4333,82.5403,Uttar Pradesh
Palladam (Tamil Nādu),10.99,77.2,Tamil Nādu
Kārmegh (Bihār),26.5307,86.4263,Bihār
Anakaputtur (Tamil Nādu),12.9823,80.1282,Tamil Nādu
Kālol (Gujarāt),22.606,73.463,Gujarāt
Pratāpgarh (Rājasthān),24.03,74.78,Rājasthān
Nāthdwāra (Rājasthān),24.93,73.82,Rājasthān
Kallār (Kerala),9.85,77.1333,Kerala
Muttayyāpuram (Tamil Nādu),8.7498,78.1311,Tamil Nādu
Barauli (Bihār),26.3815,84.5872,Bihār
Diamond Harbour (West Bengal),22.1927,88.1895,West Bengal
Sūrampatti (Tamil Nādu),11.3411,77.6956,Tamil Nādu
Nārāyanpet (Andhra Pradesh),16.7445,77.496,Andhra Pradesh
Saidpur Dabra (Bihār),25.3207,87.1793,Bihār
Ponneri (Tamil Nādu),13.32,80.2,Tamil Nādu
Berubāri (West Bengal),26.3603,88.7152,West Bengal
Rājgīr (Bihār),25.03,85.42,Bihār
Pimpalgaon Baswant (Mahārāshtra),20.1667,73.9833,Mahārāshtra
Indi (Karnātaka),17.1773,75.9526,Karnātaka
Rajaori (Jammu and Kashmīr),33.3767,74.3122,Jammu and Kashmīr
Nalhāti (West Bengal),24.294,87.839,West Bengal
Sānand (Gujarāt),22.98,72.38,Gujarāt
Kodīnar (Gujarāt),20.86,70.8,Gujarāt
Sagauli (Bihār),26.7639,84.7434,Bihār
Golāghāt (Assam),26.52,93.97,Assam
Pīleru (Andhra Pradesh),13.6549,78.9471,Andhra Pradesh
Memāri (West Bengal),23.2,88.12,West Bengal
Kendrāparha (Odisha),20.5,86.42,Odisha
Naini Tal (Uttarākhand),29.3919,79.4542,Uttarākhand
Rāmganj Mandi (Rājasthān),24.6472,75.9444,Rājasthān
Jayamkondacholapuram (Tamil Nādu),11.2127,79.3637,Tamil Nādu
Cherupulasshēri (Kerala),10.8793,76.3148,Kerala
Saundatti (Karnātaka),15.7833,75.1167,Karnātaka
Trikarpūr North (Kerala),12.1439,75.1789,Kerala
Shutayil (Kerala),12.1439,75.1789,Kerala
Agar (Madhya Pradesh),23.7118,76.0157,Madhya Pradesh
Peddapalli (Andhra Pradesh),18.6162,79.3832,Andhra Pradesh
Bilāsipāra (Assam),26.2328,90.2341,Assam
Paliā Kalān (Uttar Pradesh),28.45,80.5833,Uttar Pradesh
Hālol (Gujarāt),22.5,73.47,Gujarāt
Patti (Punjab),31.28,74.86,Punjab
Dhamdāha (Bihār),25.7435,87.1835,Bihār
Talukkara (Kerala),10.95,75.9097,Kerala
Tālcher (Odisha),20.95,85.23,Odisha
Qādiān (Punjab),31.8192,75.3764,Punjab
Pāmban (Tamil Nādu),9.279,79.2109,Tamil Nādu
Thōtada (Kerala),11.843,75.4214,Kerala
Vavveru (Andhra Pradesh),14.5594,79.8725,Andhra Pradesh
Buddh Gaya (Bihār),24.6981,84.9869,Bihār
Kadūr (Karnātaka),13.5529,76.0116,Karnātaka
Mundakkal (Kerala),11.3244,75.9928,Kerala
Sherghāti (Bihār),24.5617,84.7953,Bihār
Pilāni (Rājasthān),28.37,75.6,Rājasthān
Nowgong (Madhya Pradesh),25.0574,79.4381,Madhya Pradesh
Jānjgīr (Chhattīsgarh),22.017,82.567,Chhattīsgarh
Erramvāripālem (Andhra Pradesh),15.8495,80.3861,Andhra Pradesh
Krishnarājāsāgara (Karnātaka),12.4398,76.3828,Karnātaka
Mārākkara (Kerala),10.95,76.0333,Kerala
Channarāyapatna (Karnātaka),12.902,76.364,Karnātaka
Pālampur (Himāchal Pradesh),32.1097,76.5366,Himāchal Pradesh
Jhābua (Madhya Pradesh),22.7677,74.5909,Madhya Pradesh
Vellakkovil (Tamil Nādu),10.93,77.72,Tamil Nādu
Sabalgarh (Madhya Pradesh),26.25,77.4,Madhya Pradesh
Murtajāpur (Mahārāshtra),20.73,77.51,Mahārāshtra
Peringalam (Kerala),11.7137,75.586,Kerala
Merta (Rājasthān),26.65,74.0333,Rājasthān
Uttarkāshi (Uttarākhand),30.73,78.45,Uttarākhand
Maihar (Madhya Pradesh),24.262,80.761,Madhya Pradesh
Begamganj (Madhya Pradesh),23.5992,78.3406,Madhya Pradesh
Tiruchendūr (Tamil Nādu),8.4946,78.1219,Tamil Nādu
Kīlakkarai (Tamil Nādu),9.2314,78.7848,Tamil Nādu
Kālimpong (West Bengal),27.06,88.47,West Bengal
Phulwāria (Bihār),25.4697,85.9847,Bihār
Kakrāla (Uttar Pradesh),27.8922,79.1953,Uttar Pradesh
Kunigal (Karnātaka),13.0232,77.0252,Karnātaka
Mailapur (Karnātaka),13.021,77.938,Karnātaka
Varkkallai (Kerala),8.7433,76.6968,Kerala
Mayyanād (Kerala),8.8391,76.6469,Kerala
Panaji (Goa),15.4989,73.8278,Goa
Sindgi (Karnātaka),16.92,76.234,Karnātaka
Wādegaon (Mahārāshtra),20.34,76.51,Mahārāshtra
Sardulgarh (Punjab),29.697,75.2388,Punjab
Samālkha (Haryāna),29.23,77.02,Haryāna
Junnar (Mahārāshtra),19.2072,73.8742,Mahārāshtra
Salaiya (Madhya Pradesh),23.1,80.12,Madhya Pradesh
Rāmdurg (Karnātaka),15.95,75.3,Karnātaka
Amudālavalasa (Andhra Pradesh),18.4167,83.9,Andhra Pradesh
Atmakūr (Andhra Pradesh),15.8779,78.5884,Andhra Pradesh
Nīlēshwar (Kerala),12.26,75.13,Kerala
Kovvūr (Andhra Pradesh),17.017,81.731,Andhra Pradesh
Bāsudebpur (Odisha),21.1197,86.729,Odisha
Pachrūkha (Bihār),26.7373,84.8861,Bihār
Lālganj (Bihār),25.87,85.18,Bihār
Islāmpur (Bihār),25.1407,85.2059,Bihār
Khāchrod (Madhya Pradesh),23.4232,75.2819,Madhya Pradesh
Bādepalli (Andhra Pradesh),16.7549,78.1443,Andhra Pradesh
Sijua (Jhārkhand),23.7762,86.3303,Jhārkhand
Seram (Karnātaka),17.1786,77.29,Karnātaka
Vādāsinor (Gujarāt),22.95,73.33,Gujarāt
Jogbani (Bihār),26.3961,87.2597,Bihār
Solan (Himāchal Pradesh),30.905,77.097,Himāchal Pradesh
Hailākāndi (Assam),24.6839,92.561,Assam
Erattukulakkada (Kerala),8.9,76.8833,Kerala
Nawābganj (Uttar Pradesh),28.54,79.633,Uttar Pradesh
Ayirāpuram (Kerala),9.88,76.3,Kerala
Idangansālai (Tamil Nādu),11.6272,77.989,Tamil Nādu
Chittaranjan (West Bengal),23.87,86.87,West Bengal
Partāpnagar (Bihār),25.4145,87.0787,Bihār
Revelganj (Bihār),25.78,84.67,Bihār
Amla (Madhya Pradesh),21.9248,78.1279,Madhya Pradesh
Tharād (Gujarāt),24.3926,71.6248,Gujarāt
Betamcherla (Andhra Pradesh),15.4667,78.1667,Andhra Pradesh
Nallūr (Tamil Nādu),11.1003,77.3914,Tamil Nādu
Wālājāpet (Tamil Nādu),12.9255,79.3652,Tamil Nādu
Tuvāgudi (Tamil Nādu),10.7526,78.8298,Tamil Nādu
Dwārka (Gujarāt),22.2464,68.9667,Gujarāt
Birmitrapur (Odisha),22.4,84.7667,Odisha
Sāttivayal (Tamil Nādu),10.6017,78.5464,Tamil Nādu
Pehowa (Haryāna),29.98,76.58,Haryāna
Nūrpur (Uttar Pradesh),29.15,78.4,Uttar Pradesh
Mehidpur (Madhya Pradesh),23.4888,75.658,Madhya Pradesh
Tinnanūr (Tamil Nādu),13.1145,80.0271,Tamil Nādu
Vetapālem (Andhra Pradesh),15.78,80.32,Andhra Pradesh
Paravūrkambolam (Kerala),8.81,76.6702,Kerala
Vengat (Kerala),11.8828,75.5351,Kerala
Mahādeopur (Andhra Pradesh),18.7316,79.9837,Andhra Pradesh
Melmadai (Tamil Nādu),9.9264,78.1503,Tamil Nādu
Buchireddipālem (Andhra Pradesh),14.538,79.875,Andhra Pradesh
Shevgaon (Mahārāshtra),19.35,75.2333,Mahārāshtra
Chikodi (Karnātaka),16.4255,74.587,Karnātaka
Khairtal (Rājasthān),27.8346,76.6388,Rājasthān
Tāki (West Bengal),22.59,88.92,West Bengal
Porur (Tamil Nādu),13.0356,80.1582,Tamil Nādu
Pallipram (Kerala),11.15,75.9,Kerala
Karuvambram (Kerala),11.0158,76.1131,Kerala
Shankarpur Khawās (Bihār),25.2016,87.1496,Bihār
Thakraha (Bihār),26.7419,84.2562,Bihār
Dubrājpur (West Bengal),23.8,87.38,West Bengal
Gurais (Jammu and Kashmīr),34.6333,74.8333,Jammu and Kashmīr
Goribidnūr (Karnātaka),13.6111,77.5167,Karnātaka
Srīnagar (Uttarākhand),30.22,78.78,Uttarākhand
Dhanera (Gujarāt),24.52,72.02,Gujarāt
Pen (Mahārāshtra),18.75,73.08,Mahārāshtra
Cheyyār (Tamil Nādu),12.662,79.5435,Tamil Nādu
Pathanāmthitta (Kerala),9.2648,76.787,Kerala
Charaut (Bihār),26.5322,85.7942,Bihār
Rāni (Bihār),25.5564,85.9021,Bihār
Manali (Tamil Nādu),13.1667,80.2667,Tamil Nādu
Mamun (Punjab),32.2824,75.6983,Punjab
Coondapoor (Karnātaka),13.6313,74.6902,Karnātaka
Gomoh (Jhārkhand),23.8735,86.1516,Jhārkhand
Aklera (Rājasthān),24.42,76.57,Rājasthān
Satānā (Mahārāshtra),20.5797,74.216,Mahārāshtra
Basavana Bāgevādi (Karnātaka),16.5728,75.9725,Karnātaka
Huzūrābād (Andhra Pradesh),18.2,79.42,Andhra Pradesh
Attingal (Kerala),8.68,76.83,Kerala
Hatta (Madhya Pradesh),24.1341,79.6012,Madhya Pradesh
Malavalli (Karnātaka),12.38,77.08,Karnātaka
